rank,config_name,primary,macro_auc,first_pass_auc,site_auc_std,mean_oof_auc,rare_auc,frequent_auc,runtime_min,stage_metrics_path
1,baseline,0.8844,0.8844,0.8808,0.0994,0.891,nan,0.8831,1.7408,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/lb/baseline.json
2,lb_093_port,0.8594,0.8594,0.8685,0.1861,0.9215,nan,0.8575,1.4091,/mnt/evafs/faculty/home/mgromadzki/src/BirdCLEF/birdclef/outputs/sweep/lb/lb_093_port.json
